fix_commit,fname,changed_lines,bug_commits
90b281b0,packages/common/package.json,"[[('-54', '1'), ('+54', '2')]]",{'335d0d47b'}
90b281b0,packages/core/contracts/insured-bridge/implementation/L1_BridgeWithdrawalBox.sol,"[[('-1', '46'), ('+0', '0')]]",{'b2a36f8ae'}
90b281b0,packages/core/contracts/insured-bridge/implementation/L2_BridgeDepositBox.sol,"[[('-2', '1'), ('+1', '0')]]",{'b2a36f8ae'}
90b281b0,packages/core/contracts/oracle/implementation/Finder.sol,"[[('-2', '1'), ('+2', '1')]]",{'5db0d7178'}
90b281b0,packages/core/test/insured-bridge/helpers/utils.js,"[[('-1', '19'), ('+0', '0')]]",{'eb96398d5'}
90b281b0,packages/core/test/insured-bridge/l2/L2_DepositBox.js,"[[('-1', '63'), ('+0', '0')]]","{'b2a36f8ae', 'eb96398d5'}"
90b281b0,packages/core/test/insured-bridge/l2/L2_DepositBox_web3.js,"[[('-1', '45'), ('+0', '0')]]",{'eb96398d5'}
f25c4695,packages/core/package.json,"[[('-8', '1'), ('+8', '1')]]",{'57b6a03f6'}
d853eb19,Dockerfile,"[[('-1', '14'), ('+1', '14')]]","{'fa77c86e4', 'e826b611d', 'ffcd068b8', '7607ddc72', '8502b38e9'}"
ab4d207a,documentation/ROOT/index.md,"[[('-1', '3'), ('+0', '0')]]","{'501964f13', '98c3f90cc', '7778e7a05'}"
ab4d207a,documentation/contract.hbs,"[[('-1', '123'), ('+0', '0')]]","{'e958d16c9', '98c3f90cc', 'd72cd62c8'}"
ab4d207a,documentation/gae_app.yaml,"[[('-1', '14'), ('+0', '0')]]",{'98c3f90cc'}
ab4d207a,documentation/map.txt,"[[('-1', '1'), ('+0', '0')]]",{'c260f0811'}
ab4d207a,documentation/prelude.hbs,"[[('-1', '3'), ('+0', '0')]]",{'98c3f90cc'}
422aac58,packages/core/contracts/financial-templates/common/financial-product-libraries/contract-for-difference-libraries/CallOptionContractForDifferenceFinancialProductLibrary.sol,"[[('-1', '47'), ('+0', '0')]]",{'8b9d9d9b5'}
c5cc356a,packages/common/package.json,"[[('-34', '1'), ('+33', '0')]]",{'a3bf46270'}
c5cc356a,packages/fx-tunnel-relayer/package.json,"[[('-6', '1'), ('+6', '1')]]",{'dc1a6b082'}
b5101fa1,package.json,"[[('-68', '1'), ('+68', '1')]]",{'c3769fdcf'}
822a14ec,contracts/test/MultiRoleTest.sol,"[[('-2', '1'), ('+2', '1')]]",{'ca4a1076f'}
71dd172b,packages/core/test/financial-templates/expiring-multiparty/ExpiringMultiPartyCreator.js,"[[('-1', '1'), ('+1', '1')]]",{'9769c5d70'}
71dd172b,packages/core/test/financial-templates/perpetual-multiparty/Perpetual.js,"[[('-1', '1'), ('+1', '1')]]",{'fc9a52f60'}
71dd172b,packages/core/test/financial-templates/perpetual-multiparty/PerpetualCreator.js,"[[('-1', '1'), ('+1', '1')]]",{'1631ef7ad'}
9cc64935,packages/affiliates/package.json,"[[('-3', '1'), ('+3', '1')], [('-8', '1'), ('+8', '1')], [('-10', '1'), ('+10', '1')]]",{'0e63c6732'}
9cc64935,packages/common/package.json,"[[('-3', '1'), ('+3', '1')]]",{'0e63c6732'}
9cc64935,packages/core/package.json,"[[('-3', '1'), ('+3', '1')], [('-7', '1'), ('+7', '1')], [('-21', '1'), ('+21', '1')]]",{'0e63c6732'}
9cc64935,packages/disputer/package.json,"[[('-3', '1'), ('+3', '1')], [('-6', '3'), ('+6', '3')]]",{'0e63c6732'}
9cc64935,packages/financial-templates-lib/package.json,"[[('-3', '1'), ('+3', '1')], [('-9', '2'), ('+9', '2')]]",{'0e63c6732'}
9cc64935,packages/liquidator/package.json,"[[('-3', '1'), ('+3', '1')], [('-6', '3'), ('+6', '3')]]",{'0e63c6732'}
9cc64935,packages/monitors/package.json,"[[('-3', '1'), ('+3', '1')], [('-9', '3'), ('+9', '3')]]",{'0e63c6732'}
9cc64935,packages/optimistic-oracle/package.json,"[[('-3', '1'), ('+3', '1')], [('-6', '3'), ('+6', '3')]]",{'0e63c6732'}
9cc64935,packages/serverless-orchestration/package.json,"[[('-3', '1'), ('+3', '1')], [('-7', '2'), ('+7', '2')]]",{'0e63c6732'}
9cc64935,packages/trader/package.json,"[[('-3', '1'), ('+3', '1')], [('-7', '1'), ('+7', '1')]]",{'0e63c6732'}
9cc64935,packages/voter-dapp/package.json,"[[('-3', '1'), ('+3', '1')], [('-10', '2'), ('+10', '2')]]",{'0e63c6732'}
768b5e06,packages/core/scripts/identifier-umip/1_Propose.js,"[[('-7', '2'), ('+7', '4')]]",{'8a9f612c2'}
0708aa17,package.json,"[[('-45', '1'), ('+45', '1')]]",{'eec611b68'}
335d0d47,package.json,"[[('-57', '1'), ('+57', '1')]]",{'1142e7741'}
335d0d47,packages/common/package.json,"[[('-56', '1'), ('+56', '1')]]",{'1142e7741'}
335d0d47,packages/financial-templates-lib/package.json,"[[('-21', '1'), ('+21', '1')]]",{'1142e7741'}
335d0d47,packages/serverless-orchestration/package.json,"[[('-9', '1'), ('+9', '1')]]",{'1142e7741'}
d52c2f81,packages/core/package.json,"[[('-8', '1'), ('+8', '1')]]",{'f25c46956'}
28bd4201,ci/tests/test-financial-templates-lib.sh,"[[('-3', '2'), ('+3', '2')]]",{'85b5523e2'}
28bd4201,ci/tests/test-liquidator.sh,"[[('-3', '2'), ('+3', '2')]]",{'85b5523e2'}
d0eea3c2,packages/core/scripts/remove-collateral-upp/2_VoteSimulate.js,"[[('-1', '260'), ('+0', '0')]]",{'aff71f036'}
682c9f9e,packages/affiliates/payouts/devmining-status.json,"[[('-31', '1'), ('+31', '1')]]",{'b673c302a'}
57b6a03f,packages/core/package.json,"[[('-8', '1'), ('+8', '1')]]",{'dc973209b'}
4012bb25,packages/financial-templates-lib/package.json,"[[('-10', '1'), ('+10', '1')]]",{'e0c79359e'}
08fc6404,packages/core/contracts/l2/polygon/lib/RLPReader.sol,"[[('-7', '1'), ('+7', '1')]]",{'c71e31df9'}
8e3a2983,common/VotingUtils.js,"[[('-1', '1'), ('+1', '6')]]",{'18a33e263'}
8e3a2983,package.json,"[[('-47', '1'), ('+47', '1')]]",{'32f7c0ddd'}
66c7dc32,packages/merkle-distributor/src/index.ts,"[[('-1', '4'), ('+1', '2')]]",{'294349d60'}
892042c0,packages/core/scripts/local/CalculateContractBytecode.js,"[[('-4', '1'), ('+4', '1')]]",{'06bbe12cb'}
