fix_commit,fname,changed_lines,bug_commits
afd1d79b,package.json,"[[('-11', '3'), ('+11', '3')], [('-35', '1'), ('+35', '1')]]","{'b3588fa25', '830d123cb', 'f8835d50c'}"
afd1d79b,yarn.lock,"[[('-2092', '5'), ('+2091', '0')]]",{'46c26db16'}
6a704422,contracts/mocks/oracles/compound/CTokenUnderlyingMock.sol,"[[('-1', '11'), ('+0', '0')]]","{'e9c1ee553', 'd15f02648'}"
6a704422,contracts/mocks/oracles/compound/CUSDCMock.sol,"[[('-1', '21'), ('+0', '0')]]","{'e9c1ee553', 'd15f02648'}"
4f771ff9,package.json,"[[('-3', '1'), ('+3', '1')]]",{'46c6a5e26'}
0b26d0bd,package.json,"[[('-35', '1'), ('+35', '2')]]",{'d11c77de2'}
0b26d0bd,yarn.lock,"[[('-4', '0'), ('+5', '43')], [('-571', '0'), ('+615', '16')], [('-600', '0'), ('+660', '68')], [('-701', '1'), ('+828', '1')]]",{'162c6f31b'}
7c33dde2,package.json,"[[('-26', '1'), ('+26', '1')]]",{'b5f7bfa1a'}
8e343a37,test/non-functional/401_dealer_gas.js,"[[('-1', '23'), ('+0', '0')]]","{'e75fc291d', '7de4d0482', '2967f157d', '179992f60'}"
8e343a37,test/non-functional/402_market_gas.js,"[[('-1', '27'), ('+1', '1')]]","{'854a8f47e', '31da02d27'}"
8e343a37,test/peripheral/501_controllerView.js,"[[('-1', '23'), ('+1', '1')]]",{'cb3fa890a'}
f2abce3d,package.json,"[[('-10', '1'), ('+10', '1')], [('-15', '3'), ('+15', '3')]]",{'b5f7bfa1a'}
f2abce3d,test/112_treasury_saving.js,"[[('-1', '1'), ('+1', '1')]]",{'cec107a35'}
f2abce3d,test/121_ydai.js,"[[('-1', '4'), ('+1', '1')]]","{'6c01189c6', 'b311c0f30', 'c6a625b17'}"
f2abce3d,test/131_controller_series.js,"[[('-1', '3'), ('+0', '0')]]","{'54aae6637', '01c65a783'}"
f2abce3d,test/141_liquidations.js,"[[('-1', '3'), ('+0', '0')]]",{'038ca7be3'}
f2abce3d,test/shared/fixtures.ts,"[[('-1', '2'), ('+1', '2')]]",{'d11c77de2'}
48054ed6,package.json,"[[('-35', '1'), ('+35', '1')]]",{'db753929d'}
48054ed6,yarn.lock,"[[('-2300', '4'), ('+2300', '4')]]",{'db753929d'}
2a9b9ad1,contracts/fuzz/Cauldron.sol,"[[('-1', '996'), ('+0', '0')]]",{'a99c3863c'}
2a9b9ad1,contracts/fuzz/FYToken.sol,"[[('-1', '1028'), ('+0', '0')]]",{'a99c3863c'}
2a9b9ad1,contracts/fuzz/Join.sol,"[[('-1', '647'), ('+0', '0')]]",{'a99c3863c'}
2a9b9ad1,contracts/fuzz/Ladle.sol,"[[('-1', '1353'), ('+0', '0')]]",{'a99c3863c'}
2a9b9ad1,contracts/fuzz/README.md,"[[('-1', '9'), ('+0', '0')]]",{'a99c3863c'}
2a9b9ad1,contracts/fuzz/Witch.sol,"[[('-1', '418'), ('+0', '0')]]",{'a99c3863c'}
d15f0264,contracts/Cauldron.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/FYToken.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/FYTokenFactory.sol,"[[('-2', '1'), ('+2', '1')]]",{'00fad0eba'}
d15f0264,contracts/Join.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/JoinFactory.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/Ladle.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/LadleStorage.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/Router.sol,"[[('-2', '1'), ('+2', '1')]]",{'33ac66afa'}
d15f0264,contracts/Wand.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/Witch.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/constants/Constants.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/mocks/DAIMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/mocks/ERC20Mock.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/mocks/FlashBorrower.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/mocks/PoolFactoryMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/mocks/PoolMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
d15f0264,contracts/mocks/PoolRouterMock.sol,"[[('-3', '1'), ('+3', '1')]]",{'cade0c78d'}
d15f0264,contracts/mocks/RestrictedERC20Mock.sol,"[[('-2', '1'), ('+2', '1')]]",{'cade0c78d'}
